price,bed,bath,carport,surface_area(m2),building_area(m2),location
1790000000.0,3,3,2,120.0,110.0,3
170000000.0,3,2,1,102.0,126.0,3
695000000.0,2,2,1,100.0,100.0,3
560000000.0,3,1,1,109.0,67.0,3
200000000.0,2,1,1,60.0,30.0,3
1470000000.0,5,3,1,125.0,157.0,3
560000000.0,3,1,1,109.0,67.0,3
2100000000.0,11,11,2,206.0,290.0,3
1600000000.0,5,4,2,300.0,200.0,3
2400000000.0,3,3,1,403.0,220.0,4
875000000.0,3,2,1,145.0,85.0,3
570000000.0,2,1,1,83.0,50.0,3
300000000.0,2,1,1,60.0,30.0,0
750000000.0,4,2,1,140.0,90.0,3
1850000000.0,4,4,2,166.0,200.0,3
745000000.0,3,1,3,209.0,180.0,0
1700000000.0,4,3,2,169.0,125.0,3
4200000000.0,4,3,2,480.0,300.0,3
455000000.0,2,1,1,61.0,45.0,4
1100000000.0,4,3,2,171.0,150.0,3
850000000.0,3,2,1,135.0,80.0,3
3500000000.0,7,7,2,349.0,400.0,3
1300000000.0,3,2,1,134.0,200.0,4
4800000000.0,13,15,4,235.0,465.0,3
1850000000.0,4,3,2,135.0,165.0,3
4750000000.0,5,6,2,267.0,340.0,3
2000000000.0,14,14,2,196.0,230.0,3
1400000000.0,3,2,2,205.0,150.0,3
765000000.0,3,2,2,109.0,80.0,3
2200000000.0,3,3,1,139.0,125.0,3
9900000000.0,4,4,5,999.7599999999998,550.0,3
7500000000.0,8,8,5,999.7599999999998,350.0,3
1950000000.0,3,3,1,128.0,188.0,3
1080000000.0,3,2,2,147.0,85.0,3
969000000.0,3,3,2,102.0,100.0,3
9987999999.999989,34,32,10,832.0,961.5999999999917,3
5500000000.0,5,6,3,295.0,400.0,3
2100000000.0,3,3,1,139.0,100.0,3
3200000000.0,5,5,2,204.0,200.0,3
2100000000.0,3,3,1,139.0,100.0,3
1300000000.0,3,2,2,156.0,85.0,3
900000000.0,3,2,2,111.0,70.0,0
9987999999.999989,9,5,8,999.7599999999998,961.5999999999917,3
9987999999.999989,6,7,4,636.0,450.0,3
6500000000.0,11,11,5,500.0,750.0,4
2480000000.0,4,3,1,192.0,135.0,3
2450000000.0,4,3,1,187.0,135.0,3
2650000000.0,4,3,1,213.0,135.0,3
2430000000.0,4,3,1,192.0,135.0,3
2490000000.0,4,3,1,200.0,135.0,3
1200000000.0,3,2,2,100.0,88.0,3
2250000000.0,10,10,2,100.0,160.0,3
1450000000.0,3,3,1,150.0,95.0,3
450000000.0,2,1,2,97.0,45.0,0
845000000.0,2,2,2,60.0,65.0,4
1800000000.0,3,2,2,134.0,90.0,3
3500000000.0,4,5,1,288.0,400.0,3
299000000.0,2,1,1,60.0,30.0,3
1380000000.0,3,2,1,107.0,100.0,3
1200000000.0,4,5,1,128.0,250.0,4
750000000.0,7,2,1,60.0,120.0,3
750000000.0,2,1,2,166.0,36.0,3
1650000000.0,3,3,1,200.0,135.0,4
499000000.0,2,1,1,120.0,36.0,3
1600000000.0,4,3,2,118.0,140.0,3
1450000000.0,3,2,1,100.0,85.0,3
1500000000.0,4,3,2,204.0,100.0,4
1850000000.0,3,2,2,116.0,115.0,3
1600000000.0,4,4,2,126.0,130.0,3
1670000000.0,4,2,2,162.0,120.0,3
4900000000.0,4,4,1,309.0,100.0,3
9987999999.999989,6,3,3,998.0,961.5999999999917,4
2360000000.0,4,3,1,182.0,135.0,3
2460000000.0,4,3,1,196.0,135.0,3
2430000000.0,4,3,1,192.0,135.0,3
2400000000.0,4,3,1,187.0,136.0,3
1590000000.0,3,3,1,90.0,115.0,3
576000000.0,3,2,1,144.0,80.0,3
2540000000.0,4,3,1,200.0,135.0,3
3300000000.0,40,42,1,110.0,400.0,3
995000000.0,3,2,1,109.0,75.0,3
410000000.0,2,1,1,112.0,60.0,3
245000000.0,2,1,1,75.0,36.0,3
2400000000.0,4,3,1,403.0,220.0,3
1790000000.0,4,3,1,113.0,175.0,3
550000000.0,3,2,1,101.0,55.0,3
2400000000.0,3,2,1,121.0,140.0,4
410000000.0,2,1,1,80.0,42.0,0
2900000000.0,3,3,2,140.0,115.0,3
650000000.0,4,2,1,90.0,150.0,4
775000000.0,2,1,1,132.0,90.0,4
1000000000.0,6,6,2,131.0,115.0,3
999000000.0,3,3,1,103.0,100.0,3
7250000000.0,5,7,10,999.7599999999998,700.0,3
695000000.0,2,2,1,100.0,65.0,4
675000000.0,2,1,1,85.0,45.0,0
4250000000.0,3,3,6,425.0,150.0,4
725000000.0,3,2,2,114.0,71.0,3
815000000.0,2,2,1,75.0,50.0,4
455000000.0,2,1,1,83.0,45.0,0
1300000000.0,3,1,2,126.0,80.0,3
690000000.0,3,2,2,76.0,60.0,0
2430000000.0,4,3,1,192.0,135.0,3
575000000.0,3,2,1,98.0,115.0,3
4200000000.0,4,4,8,564.0,190.0,3
1850000000.0,3,2,1,126.0,115.0,3
4250000000.0,3,3,6,425.0,150.0,4
3100000000.0,7,4,2,225.0,300.0,3
750000000.0,2,1,1,166.0,36.0,3
9987999999.999989,9,9,3,429.0,961.5999999999917,4
799000000.0,3,2,1,111.0,60.0,3
799000000.0,3,2,2,75.0,50.0,4
8900000000.0,7,6,8,999.7599999999998,735.0,3
3990000000.0,13,11,10,235.0,475.0,3
950000000.0,4,4,1,90.0,62.0,3
800000000.0,3,2,1,101.0,60.0,4
4000000000.0,15,15,4,207.0,300.0,3
1700000000.0,10,10,3,100.0,200.0,3
392000000.0,2,1,1,80.0,36.0,3
1450000000.0,3,3,1,110.0,129.0,4
1300000000.0,10,6,3,236.0,180.0,3
4200000000.0,4,4,1,564.0,150.0,3
235000000.0,2,1,1,73.0,30.0,3
2400000000.0,10,10,3,175.0,280.0,3
1880000000.0,3,3,1,121.0,80.0,3
2660000000.0,3,3,2,153.0,160.0,3
320000000.0,2,1,1,94.0,36.0,3
1650000000.0,4,3,2,125.0,140.0,3
1990000000.0,3,3,1,172.0,100.0,4
1800000000.0,3,3,2,95.0,150.0,3
550000000.0,3,1,1,116.0,60.0,3
1700000000.0,3,4,1,151.0,120.0,3
1100000000.0,3,2,1,138.0,100.0,3
2200000000.0,5,4,2,114.0,150.0,3
750000000.0,3,2,2,130.0,60.0,3
237000000.0,2,1,1,60.0,28.0,3
750000000.0,3,2,2,130.0,60.0,3
1650000000.0,4,3,2,125.0,140.0,3
1520000000.0,4,2,1,99.0,150.0,3
350000000.0,2,1,1,104.0,50.0,3
850000000.0,3,2,1,114.0,110.0,3
895000000.0,3,2,2,91.0,76.0,4
1200000000.0,3,2,1,115.0,100.0,4
1270000000.0,3,2,1,130.0,100.0,3
